DATE,DEPTH,LATITUDE,LONGITUDE,SALINITY,TEMPERATURE,CPHL,sur_refl_b08,sur_refl_b09,sur_refl_b10,sur_refl_b11,sur_refl_b12,sur_refl_b13,sur_refl_b14,sur_refl_b15,sur_refl_b16
5/5/2019,9.258845,17.56754,68.38962,36.61500174,29.19100139,0.072000003,0.1172,0.1117,0.107,0.1019,0.1007,-0.01,-0.01,-0.01,-0.01
5/15/2019,6.0167575,17.89659,68.3814,36.82900175,29.5650014,0.086000004,0.0851,0.0865,0.0862,0.07465,0.0021,-0.0025,-0.0023,-0.0037,-0.00475
5/25/2019,8.960493,18.12906,68.31059,36.58000174,30.05000143,0.079000004,0.1468,0.14085,0.13365,0.1215,-0.01,-0.01,-0.01,-0.01,-0.01
6/3/2019,7.1206584,18.31884,68.25008,36.99300176,30.47100145,0.079000004,0.1181,0.1105,0.10155,0.08785,0.0853,0.02805,0.0282,0.0267,-0.01
6/13/2019,7.3394494,18.47944,68.23271,36.56000174,29.24300139,0.302000014,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6/23/2019,9.487581,18.54533,68.24643,36.52200173,29.4130014,0.41800002,0.19,0.1873,0.1892,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/3/2019,9.079834,18.60909,68.09524,36.63600174,29.5270014,0.194000009,0.2711,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/13/2019,9.20912,18.6951,67.91023,36.76100175,29.22000139,0.288000014,0.2931,0.29035,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7/23/2019,9.467691,18.7655,67.84667,36.66500174,28.81400137,0.302000014,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/2/2019,9.746153,18.8823,67.93499,36.61700174,27.88600132,1.188000056,0.5458,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8/12/2019,9.945054,18.77466,68.38009,36.80100175,27.52300131,1.634000078,0.3678,0.1021,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/11/2019,9.199175,18.92075,68.81397,36.73300174,27.89800133,0.763000036,0.3177,0.3145,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9/21/2019,9.656647,18.96161,68.85373,36.63500174,27.96100133,0.590000028,0.28175,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/1/2019,9.497526,18.96204,68.89295,36.25300172,28.45300135,0.194000009,0.1691,0.1665,0.0295,0.02315,0.02155,0.01535,0.01535,0.014,0.0124
10/11/2019,9.22901,18.93649,68.91463,36.59200174,29.17600139,0.144000007,0.1278,0.11265,0.05325,0.04475,0.0427,-0.01,0.03295,0.03075,0.02725
10/21/2019,7.190274,18.71368,69.03552,36.38600173,28.67500136,0.238000011,0.5005,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10/31/2019,9.1295595,18.73085,68.98815,36.53600174,27.97800133,1.087000052,0.42935,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11/10/2019,5.9371967,18.68147,69.11781,36.10100171,28.15800134,0.187000009,3.00E-04,5.00E-04,0.00195,-2.00E-04,-9.00E-04,-0.00145,-3.50E-04,-0.00105,0.0012
11/20/2019,8.910768,18.53651,69.25153,36.18700172,28.14400134,0.706000034,0.14545,0.14335,-0.00905,-0.0095,-0.0094,-0.0065,-0.006,-0.00595,-0.00455
11/30/2019,9.567142,18.25606,69.25233,35.8000017,28.35800135,0.151000007,0.10665,0.1009,0.0991,0.0921,-0.01,-0.01,-0.01,-0.01,-0.01
12/10/2019,9.378185,18.05693,69.12788,36.28300172,28.01800133,0.42500002,0.2588,0.00125,0.00325,-4.00E-04,-8.50E-04,-0.0026,-0.00225,-0.0035,-0.0041
12/20/2019,9.726262,17.86586,69.08646,36.32100173,27.4310013,0.806000038,0.07625,0.0703,0.0666,0.06035,0.0594,-0.00465,-0.00435,-0.00465,-0.00445
12/30/2019,9.447801,17.91693,69.04684,36.36100173,27.4260013,0.547000026,0.02225,0.01745,0.01485,0.0084,0.00665,0.00165,0.00255,3.50E-04,0.00135
1/9/2020,9.467691,18.11789,69.03485,36.41000173,26.84000127,0.720000034,0.1132,0.1075,0.1015,0.0905,0.0885,0.0714,0.0717,0.0672,0.0608
1/19/2020,9.606922,18.42705,68.95598,36.46900173,26.39800125,0.778000037,0.0122,0.0142,0.0149,0.009,0.00825,0.0025,0.00285,7.50E-04,4.00E-04
